Designator,Package,Mid X,Mid Y,Rotation,Layer
C1,CAP_0805,-42.0116,-11.3,270,top
C1,CAP_0805,-42.0116,3.7,270,top
C1,CAP_0805,-42.0116,18.7,270,top
C1,CAP_0805,-42.0116,33.7,270,top
C1,CAP_0805,-42.0116,48.7,270,top
C1,CAP_0805,-42.0116,63.7,270,top
C1,CAP_0805,-42.0116,78.7,270,top
C1,CAP_0805,-42.0116,93.7,270,top
C2,CAP_0805,42.0116,93.7,270,top
C2,CAP_0805,42.0116,3.7,270,top
C2,CAP_0805,42.0116,18.7,270,top
C2,CAP_0805,42.0116,33.7,270,top
C2,CAP_0805,42.0116,48.7,270,top
C2,CAP_0805,42.0116,63.7,270,top
C2,CAP_0805,42.0116,78.7,270,top
C2,CAP_0805,42.0116,-11.3,270,top
C3,CAP_0805,-8.128,93.6746,90,top
C3,CAP_0805,-8.128,78.6746,90,top
C3,CAP_0805,-8.128,-11.3254,90,top
C3,CAP_0805,-8.128,63.6746,90,top
C3,CAP_0805,-8.128,3.6746,90,top
C3,CAP_0805,-8.128,18.6746,90,top
C3,CAP_0805,-8.128,33.6746,90,top
C3,CAP_0805,-8.128,48.6746,90,top
C4,CAP_0805,3.302,48.7,270,top
C4,CAP_0805,3.302,93.7,270,top
C4,CAP_0805,3.302,78.7,270,top
C4,CAP_0805,3.302,63.7,270,top
C4,CAP_0805,3.302,33.7,270,top
C4,CAP_0805,3.302,18.7,270,top
C4,CAP_0805,3.302,3.7,270,top
C4,CAP_0805,3.302,-11.3,270,top
C5,CAP_0805,-2.413,63.7,270,top
C5,CAP_0805,-2.413,48.7,270,top
C5,CAP_0805,-2.413,3.7,270,top
C5,CAP_0805,-2.413,78.7,270,top
C5,CAP_0805,-2.413,93.7,270,top
C5,CAP_0805,-2.413,-11.3,270,top
C5,CAP_0805,-2.413,33.7,270,top
C5,CAP_0805,-2.413,18.7,270,top
D1,SOT-23,-10.668,48.7,180,top
D1,SOT-23,-10.668,33.7,180,top
D1,SOT-23,-10.668,18.7,180,top
D1,SOT-23,-10.668,3.7,180,top
D1,SOT-23,-10.668,63.7,180,top
D1,SOT-23,-10.668,78.7,180,top
D1,SOT-23,-10.668,93.7,180,top
D1,SOT-23,-10.668,-11.3,180,top
FID1,Fiducial_1.5mm_Mask3mm,-48,97.5,0,top
FID2,Fiducial_1.5mm_Mask3mm,48,97.5,0,top
FID3,Fiducial_1.5mm_Mask3mm,-48,-6,0,top
FID4,Fiducial_1.5mm_Mask3mm,48,-6,0,top
Q3,SOT-23-6,-20.955,33.7,180,top
Q3,SOT-23-6,-20.955,-11.3,180,top
Q3,SOT-23-6,-20.955,3.7,180,top
Q3,SOT-23-6,-20.955,18.7,180,top
Q3,SOT-23-6,-20.955,48.7,180,top
Q3,SOT-23-6,-20.955,63.7,180,top
Q3,SOT-23-6,-20.955,78.7,180,top
Q3,SOT-23-6,-20.955,93.7,180,top
Q4,SOT-23-6,20.955,33.7,180,top
Q4,SOT-23-6,20.955,18.7,180,top
Q4,SOT-23-6,20.955,-11.3,180,top
Q4,SOT-23-6,20.955,3.7,180,top
Q4,SOT-23-6,20.955,93.7,180,top
Q4,SOT-23-6,20.955,78.7,180,top
Q4,SOT-23-6,20.955,63.7,180,top
Q4,SOT-23-6,20.955,48.7,180,top
R1,RES_0805,-30.226,3.697,90,top
R1,RES_0805,-30.226,-11.303,90,top
R1,RES_0805,-30.226,93.697,90,top
R1,RES_0805,-30.226,78.697,90,top
R1,RES_0805,-30.226,63.697,90,top
R1,RES_0805,-30.226,48.697,90,top
R1,RES_0805,-30.226,33.697,90,top
R1,RES_0805,-30.226,18.697,90,top
R2,RES_0805,-28.194,33.697,90,top
R2,RES_0805,-28.194,93.697,90,top
R2,RES_0805,-28.194,78.697,90,top
R2,RES_0805,-28.194,63.697,90,top
R2,RES_0805,-28.194,48.697,90,top
R2,RES_0805,-28.194,-11.303,90,top
R2,RES_0805,-28.194,18.697,90,top
R2,RES_0805,-28.194,3.697,90,top
R3,RES_0805,30.226,33.697,90,top
R3,RES_0805,30.226,-11.303,90,top
R3,RES_0805,30.226,3.697,90,top
R3,RES_0805,30.226,18.697,90,top
R3,RES_0805,30.226,48.697,90,top
R3,RES_0805,30.226,63.697,90,top
R3,RES_0805,30.226,93.697,90,top
R3,RES_0805,30.226,78.697,90,top
R4,RES_0805,28.194,63.697,90,top
R4,RES_0805,28.194,78.697,90,top
R4,RES_0805,28.194,48.697,90,top
R4,RES_0805,28.194,33.697,90,top
R4,RES_0805,28.194,18.697,90,top
R4,RES_0805,28.194,3.697,90,top
R4,RES_0805,28.194,93.697,90,top
R4,RES_0805,28.194,-11.303,90,top
R5,RES_0805,-0.508,3.7,270,top
R5,RES_0805,-0.508,18.7,270,top
R5,RES_0805,-0.508,33.7,270,top
R5,RES_0805,-0.508,48.7,270,top
R5,RES_0805,-0.508,63.7,270,top
R5,RES_0805,-0.508,-11.3,270,top
R5,RES_0805,-0.508,78.7,270,top
R5,RES_0805,-0.508,93.7,270,top
R6,RES_0805,-6.223,3.7,270,top
R6,RES_0805,-6.223,-11.3,270,top
R6,RES_0805,-6.223,78.7,270,top
R6,RES_0805,-6.223,18.7,270,top
R6,RES_0805,-6.223,33.7,270,top
R6,RES_0805,-6.223,48.7,270,top
R6,RES_0805,-6.223,63.7,270,top
R6,RES_0805,-6.223,93.7,270,top
R7,RES_0805,1.397,3.7,90,top
R7,RES_0805,1.397,18.7,90,top
R7,RES_0805,1.397,33.7,90,top
R7,RES_0805,1.397,-11.3,90,top
R7,RES_0805,1.397,48.7,90,top
R7,RES_0805,1.397,63.7,90,top
R7,RES_0805,1.397,78.7,90,top
R7,RES_0805,1.397,93.7,90,top
R8,RES_0805,-4.318,-11.3,90,top
R8,RES_0805,-4.318,33.7,90,top
R8,RES_0805,-4.318,78.7,90,top
R8,RES_0805,-4.318,63.7,90,top
R8,RES_0805,-4.318,48.7,90,top
R8,RES_0805,-4.318,93.7,90,top
R8,RES_0805,-4.318,18.7,90,top
R8,RES_0805,-4.318,3.7,90,top
U1,SOT-23-6,-25.4,48.7,180,top
U1,SOT-23-6,-25.4,3.7,180,top
U1,SOT-23-6,-25.4,18.7,180,top
U1,SOT-23-6,-25.4,33.7,180,top
U1,SOT-23-6,-25.4,63.7,180,top
U1,SOT-23-6,-25.4,78.7,180,top
U1,SOT-23-6,-25.4,93.7,180,top
U1,SOT-23-6,-25.4,-11.3,180,top
U2,SOT-23-6,25.4,78.7,180,top
U2,SOT-23-6,25.4,3.7,180,top
U2,SOT-23-6,25.4,18.7,180,top
U2,SOT-23-6,25.4,33.7,180,top
U2,SOT-23-6,25.4,48.7,180,top
U2,SOT-23-6,25.4,63.7,180,top
U2,SOT-23-6,25.4,-11.3,180,top
U2,SOT-23-6,25.4,93.7,180,top
U3,SOT-23W,-16.256,3.7,180,top
U3,SOT-23W,-16.256,18.7,180,top
