Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       16.02.17
Time:       12:26
Revision:   0
Variant:    Default_assembly
Units used: mm

Designator Footprint Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer       Rotation 
R818       AP2-00000 -27.555      -30.775      -27.555   -30.775   -27.555   -31.375   BottomLayer 90       
R803       AP2-00000 -14.225      -30.750      -14.225   -30.750   -14.225   -31.350   BottomLayer 90       
U1201      AP6-00100 -52.025      -16.950      -52.025   -16.950   -49.900   -15.975   BottomLayer 180      
U1200      AP6-00100 -55.275      -27.250      -55.275   -27.250   -54.300   -29.375   BottomLayer 90       
U1101      AP5-00002 -43.685      -40.375      -43.685   -40.375   -44.735   -41.325   BottomLayer 0        
U1100      AP6-00061 -46.524      -33.051      -46.524   -33.051   -43.724   -37.176   BottomLayer 90       
R1005      AP2-00011 -49.625      -21.825      -49.625   -21.825   -50.125   -21.825   BottomLayer 0        
R1004      AP2-00011 -46.050      -21.825      -46.050   -21.825   -46.550   -21.825   BottomLayer 0        
R1003      AP2-00011 -42.500      -21.825      -42.500   -21.825   -43.000   -21.825   BottomLayer 0        
R1006      AP2-00011 -39.750      -23.175      -39.750   -23.175   -39.750   -22.675   BottomLayer 270      
R1002      AP2-00011 -41.550      -26.675      -41.550   -26.675   -41.050   -26.675   BottomLayer 180      
R1001      AP2-00011 -45.100      -26.675      -45.100   -26.675   -44.600   -26.675   BottomLayer 180      
R1000      AP2-00011 -48.675      -26.675      -48.675   -26.675   -48.175   -26.675   BottomLayer 180      
R1209      AP2-00011 -56.500      -23.075      -56.500   -23.075   -56.500   -22.575   BottomLayer 270      
R1208      AP2-00011 -55.100      -23.600      -55.100   -23.600   -55.600   -23.600   BottomLayer 0        
R1207      AP2-00011 -56.700      -18.875      -56.700   -18.875   -56.700   -18.375   BottomLayer 270      
R1205      AP2-00011 -56.350      -30.900      -56.350   -30.900   -56.850   -30.900   BottomLayer 0        
R1204      AP2-00076 -50.450      -19.475      -50.450   -19.475   -51.150   -19.475   BottomLayer 0        
R1203      AP2-00011 -54.450      -30.900      -54.450   -30.900   -54.950   -30.900   BottomLayer 0        
R1202      AP2-00076 -48.125      -17.325      -48.125   -17.325   -48.125   -18.025   BottomLayer 90       
R1201      AP2-00011 -44.700      -19.300      -44.700   -19.300   -45.200   -19.300   BottomLayer 0        
R1200      AP2-00076 -47.250      -19.475      -47.250   -19.475   -47.950   -19.475   BottomLayer 0        
R1106      AP2-00011 -46.125      -41.825      -46.125   -41.825   -46.125   -42.325   BottomLayer 90       
R1105      AP2-00011 -46.125      -39.925      -46.125   -39.925   -46.125   -40.425   BottomLayer 90       
R1104      AP2-00011 -48.350      -39.425      -48.350   -39.425   -47.850   -39.425   BottomLayer 180      
R902       AP2-00011 -48.400      -10.850      -48.400   -10.850   -47.900   -10.850   BottomLayer 180      
R901       AP2-00011 -45.850      -10.375      -45.850   -10.375   -45.350   -10.375   BottomLayer 180      
Q1002      AP5-00002 -49.100      -24.250      -49.100   -24.250   -48.150   -25.300   BottomLayer 90       
Q1001      AP5-00002 -45.550      -24.250      -45.550   -24.250   -44.600   -25.300   BottomLayer 90       
Q1000      AP5-00002 -42.000      -24.250      -42.000   -24.250   -41.050   -25.300   BottomLayer 90       
Q1201      AP5-00002 -54.000      -20.525      -54.000   -20.525   -55.050   -21.475   BottomLayer 0        
Q1200      AP5-00002 -45.625      -16.800      -45.625   -16.800   -44.675   -17.850   BottomLayer 90       
Q902       AP5-00002 -49.350      -13.075      -49.350   -13.075   -48.300   -12.125   BottomLayer 180      
Q901       AP5-00002 -53.250      -13.075      -53.250   -13.075   -54.300   -14.025   BottomLayer 0        
Q900       AP5-00002 -45.625      -12.900      -45.625   -12.900   -44.675   -13.950   BottomLayer 90       
L1201      AP3-00028 -58.075      -15.850      -58.075   -15.850   -58.075   -15.250   BottomLayer 270      
L1200      AP3-00028 -52.225      -23.425      -52.225   -23.425   -51.625   -23.425   BottomLayer 180      
L1100      AP3-00005 -54.900      -36.000      -54.900   -36.000   -55.600   -36.000   BottomLayer 0        
JS101      AP8-00525 -224.080     -202.480     -41.776   -16.030   -224.080  -202.480  TopLayer    90       
J404       AP8-00257 -5.700       -22.375      -5.700    -22.375   -3.160    -21.740   TopLayer    180      
J102       AP8-00745 -41.776      -17.300      -41.776   -17.300   -41.776   -19.840   TopLayer    90       
J100       AP8-00745 -36.696      -17.300      -36.696   -17.300   -36.696   -19.840   TopLayer    90       
C1206      AP1-00053 -55.100      -22.775      -55.100   -22.775   -55.575   -22.775   BottomLayer 0        
C1204      AP1-00053 -55.650      -16.175      -55.650   -16.175   -55.650   -16.650   BottomLayer 90       
C1203      AP1-00117 -56.750      -15.875      -56.750   -15.875   -56.750   -16.575   BottomLayer 90       
C1202      AP1-00053 -54.450      -31.725      -54.450   -31.725   -54.925   -31.725   BottomLayer 0        
C1201      AP1-00117 -52.750      -25.425      -52.750   -25.425   -52.750   -24.725   BottomLayer 270      
C1200      AP1-00053 -51.650      -24.975      -51.650   -24.975   -51.650   -24.500   BottomLayer 270      
C1107      AP1-00053 -46.975      -39.925      -46.975   -39.925   -46.975   -39.450   BottomLayer 270      
C1106      AP1-00053 -46.975      -41.825      -46.975   -41.825   -46.975   -41.350   BottomLayer 270      
C1105      AP1-00053 -53.075      -35.525      -53.075   -35.525   -53.075   -36.000   BottomLayer 90       
C1104      AP1-00053 -52.250      -35.525      -52.250   -35.525   -52.250   -36.000   BottomLayer 90       
C1102      AP1-00053 -39.575      -32.875      -39.575   -32.875   -39.575   -33.350   BottomLayer 90       
C1101      AP1-00053 -40.600      -32.875      -40.600   -32.875   -40.600   -33.350   BottomLayer 90       
C1103      AP1-00053 -39.575      -34.825      -39.575   -34.825   -39.575   -34.350   BottomLayer 270      
C1100      AP1-00053 -40.600      -34.825      -40.600   -34.825   -40.600   -34.350   BottomLayer 270      
C105       AP1-00117 -27.025      -10.175      -27.025   -10.175   -27.725   -10.175   BottomLayer 0        
C104       AP1-00053 -28.900      -7.300       -28.900   -7.300    -28.900   -6.825    BottomLayer 270      
C103       AP1-00117 -24.075      -6.375       -24.075   -6.375    -24.075   -5.675    BottomLayer 270      
C102       AP1-00117 -26.575      -5.700       -26.575   -5.700    -25.875   -5.700    BottomLayer 180      
R105       AP2-00011 -14.000      -13.475      -14.000   -13.475   -14.000   -12.975   BottomLayer 270      
R802       AP2-00000 -11.674      -30.750      -11.674   -30.750   -11.674   -30.150   BottomLayer 270      
R107       AP2-00011 -14.000      -11.425      -14.000   -11.425   -14.000   -10.925   BottomLayer 270      
Q800       AP5-00001 -3.225       -8.800       -3.225    -8.800    -3.875    -7.875    BottomLayer 270      
