Category,Quantity,References,Value,Stock Code,PCB Package
Integrated Circuits,2,"U3,U7",USBLC6-2,USBLC6-2SC6,SUPERSOT-6
Integrated Circuits,2,"U4,U8",U OPAMP MCP6001,MCP6001T-I/OT,SOT23-5
Integrated Circuits,2,U5-U6,U HALL DRV5053,DRV5053OAQLPGM,TS9011 SOT23
Resistors,8,"R1-R3,R6,R9-R12",10k,,0805_RES
Resistors,4,"R4-R5,R7-R8",1k,,0805_RES
Capacitors,4,C1-C4,100n,,0805_CAP
Transistors,4,Q1-Q4,DMG1023UV-7,DMG1023UV-7,SUPERSOT-6
Miscellaneous,16,J1-J16,J SPRINGPIN,TOBY_TEST-3,J PAD 1
Miscellaneous,8,J20-J27,J POGO 1,,J POGO 1
